id,name,category,citation,chapter,actor,domain,layer,module,algorithm,rule,worked_expression,has_expression
11,Inline Fact Previews,User-Facing,§52.13.2.2,52,Reader,D9 Interaction Surfaces,Experience,D9.ch52,"On hover/tap of a cited fact reference, retrieve and display that Fact Unit's summary without a new query round-trip.",Structural rule: A preview resolves the cited Fact Unit already retrieved for the response; it issues no new query and can surface no record the response did not cite.,,False
12,Contextual Footnotes,User-Facing,§52.13.2.1,52,Reader,D9 Interaction Surfaces,Experience,D9.ch52,"Attach a Fact Unit's supplementary detail as an inline, dismissible footnote at its citation point.",Structural rule: A footnote attaches at the citation point of the Fact Unit it elaborates and is dismissible without altering the response body.,,False
13,Personal Notes,User-Facing,Chapter 63,63,Reader,D9 Interaction Surfaces,Experience,,Store reader-authored text as a Fact Unit with AccessControlList restricted to the authoring reader alone.,Access is granted only when the requester's identity matches the note's owner.,"=IF(""reader_42""=""reader_42"",""Access Granted"",""Denied"")",True
14,Social Annotations,User-Facing,§52.13.2.1 / Ch63,52,Reader,D9 Interaction Surfaces,Experience,D9.ch52,"As Personal Notes, but AccessControlList defaults to author-configured sharing rather than reader-private.",Visibility depends on a sharing flag rather than strict owner-match.,"=IF(TRUE(),""Visible to Others"",""Private"")",True
15,Message Boards,User-Facing,Chapter 64,64,Reader / Author,D9 Interaction Surfaces,Experience,D9.ch64,Route a post into one of four board-type partitions per the poster's role; apply moderation-action checks on write.,Board partition is selected from a fixed enumeration by type index.,"=CHOOSE(2,""Book-Wide"",""Chapter"",""Class"",""Announcement"")",True
16,Private Messaging,User-Facing,§82.2,82,Reader / Author,"D8 Access, Rights & Retention",Experience,D8.ch82,Write a DirectMessage Fact Unit with AccessControlList restricted to exactly the sending and receiving identity.,Access is granted only to the two identities named on the message.,"=IF(OR(""reader_9""=""reader_9"",""reader_9""=""author_3""),""Access Granted"",""Denied"")",True
17,Reader History Interface,User-Facing,§36.8,36,Reader,"D8 Access, Rights & Retention",Experience,D8.ch36,"Chronological record of every session across every owned book, each entry expandable to show what was retrieved.","Sessions are ordered by timestamp, most recent first.","=IF(DATE(2026,8,10)>DATE(2026,8,1),""Shown First"",""Shown Later"")",True
18,Cross-Book Thematic Analysis,User-Facing,Chapter 36,36,Reader / Student,"D8 Access, Rights & Retention",Experience,D8.ch36,"Analyze a reader's own query-history Fact Units for recurring semantic clusters, then match against Ontology Mesh nodes in other owned books.",A cross-book match requires cluster similarity above a threshold.,"=IF(0.71>=0.6,""Genuine Connection"",""No Match"")",True
19,QBQL Structured Query,User-Facing,Chapter 18,18,Researcher,D4 Retrieval & Response,Reasoning,D4.ch18,"Parse a declarative query against the Fact Graph schema, resolve predicates, execute as a deterministic read-only traversal.","Pure function of (query, current state) — no side effects.",,False
20,NLPL Natural-Language Programs,User-Facing,Chapter 48,48,Researcher / Author,D4 Retrieval & Response,Reasoning,D4.ch48,Break the natural-language instruction into its constituent components before any code is generated.,Structural rule: Decomposition into operational intents completes before any intent is bound to a concrete entity; an ambiguous binding halts compilation rather than resolving it.,,False
21,Application Library and Generator,User-Facing,Chapter 39,39,Reader,"D10 Authoring, Editions & Publication",Experience,,Match a plain-language request against the existing template library by task/domain similarity; compose a new template only where no adequate match exists.,"A library match is used only above a similarity threshold; below it, composition is triggered.","=IF(0.4>=0.65,""Use Existing Template"",""Compose New Template"")",True
22,Video Colorization & Upscaling (VCUM),User-Facing,Chapter 44,44,Reader / Researcher,"D10 Authoring, Editions & Publication",Experience,D10.ch44,Semantic Colorization Engine infers plausible color per-region from identified material class and lighting; upscaling synthesizes detail constrained to remain consistent with the source.,Deterministic inference function: identical inputs always yield the identical inferred color.,,False
23,Immersive 3D Scenes (IQR),User-Facing,Chapter 46,46,Reader,D9 Interaction Surfaces,Experience,D9.ch46,"Where grounding Fact Units carry sufficient spatial detail, instantiate WASM Fact Units as a renderable 3D scene.",Scene rendering is triggered only once spatial-detail sufficiency clears a threshold.,"=IF(0.8>=0.7,""Render 3D Scene"",""Text Only"")",True
24,Tour and Exhibition Mode,User-Facing,§46.9,46,Author / Reader,D9 Interaction Surfaces,Experience,D9.ch46,Sequence author-selected IQR scenes into ordered Waypoints; playback steps through at reader-controlled pace.,Waypoint order is a fixed sequence index.,"=INDEX({""Scene A"",""Scene B"",""Scene C""},2)",True
25,Presenter Mode,User-Facing,§46.10,46,Author,D9 Interaction Surfaces,Experience,D9.ch46,"Verify the requested presence mode against the author's current, mode-specific, non-revoked Author Authorization Record.",Authorization is granted only if the specific mode is both authorized and not revoked.,"=IF(AND(TRUE(),NOT(FALSE())),""Authorized"",""Denied"")",True
26,Instructor-Created Tours,User-Facing,Chapter 83,83,Instructor,D9 Interaction Surfaces,Experience,D9.ch83,"Sequence a Tour from already-published scenes, composed by an instructor rather than the author; carries non-removable ContentRole = INSTRUCTOR attribution.","Attribution label is fixed by content role, not editable by the instructor.","=IF(""INSTRUCTOR""=""INSTRUCTOR"",""Label: Instructor-Created"",""Label: Author-Curated"")",True
27,Instructor Notes,User-Facing,§83.1,83,Instructor,D9 Interaction Surfaces,Experience,D9.ch83,"As Personal Notes, but AccessControlList is scoped to the instructor's class roster.",Access is granted only to identities on the class roster.,"=IF(COUNTIF({""student_1"",""student_2"",""student_3""},""student_2"")>0,""Access Granted"",""Denied"")",True
28,Session Books,User-Facing,§84.1,84,Reader / Researcher,D9 Interaction Surfaces,Experience,,Construct a delta reference over the reader's library without copying underlying Fact Units; purge on session end.,"The delta is a reference set, not a copy; its size is independent of the underlying library size.",,False
29,Instructor-Customized Assessment Templates,User-Facing,§84.2,84,Instructor,D14 Learning & Assessment,Experience,,Store instructor-chosen structural parameters as a reusable template; apply structure to Comprehension Check generation while sourcing content from the Fact Graph.,Question count is bounded by the template's configured maximum.,"=MIN(12,10)",True
30,Instructor Grant Visibility Dashboard,User-Facing,Chapter 85,85,Instructor,"D8 Access, Rights & Retention",Experience,,"Query all active instructor-grant Fact Units for the viewing identity; join against Class Board, Instructor Tour, and Assessment Template records.",A grant is shown only while its status is active.,"=IF(""ACTIVE""=""ACTIVE"",""Show on Dashboard"",""Hide - Expired"")",True
31,Manuscript Upload,User-Facing,§61.1.1,61,Author,"D10 Authoring, Editions & Publication",Experience,D10.ch61,Ingest the uploaded file in a single event; tag resulting Fact Units DraftStatus = DRAFT; restrict visibility until explicit submission.,Visibility is gated on DraftStatus.,"=IF(""DRAFT""=""DRAFT"",""Author-Only Visibility"",""Public"")",True
32,Manuscript Editor,User-Facing,§61.1,61,Author,"D10 Authoring, Editions & Publication",Experience,D10.ch61,Accumulate Fact Units incrementally per edit; each edit versioned through the standard VersionChain mechanism.,Each edit increments the version counter by exactly one.,=3+1,True
33,Narrative Coherence Checking,User-Facing,§61.2,61,Author,"D10 Authoring, Editions & Publication",Experience,D10.ch61,"Apply Discussion Mode's critical-analysis capability to the draft's own Fact Graph, surfacing internal contradictions.",A contradiction is flagged when two Fact Units assert incompatible values for the same subject/field.,"=IF(""alive""<>""deceased"",""Contradiction Found"",""Consistent"")",True
34,Counterfactual Exploration (Drafting),User-Facing,§61.3,61,Author,"D10 Authoring, Editions & Publication",Experience,D10.ch61,"Construct a Scenario Graph COUNTERFACTUAL branch from the draft's current state, preserving both branches.",Both counterfactual branches are preserved; branch count after divergence is two.,"=IF(1+1>=2,""Both branches preserved"",""Branch lost"")",True
35,Supplemental Content,User-Facing,§82.1,82,Author,"D8 Access, Rights & Retention",Experience,D8.ch82,"Ingest author-provided material, tag ContentRole = SUPPLEMENTAL, link to the parent book without altering its Rights Validation status.",Rights status is read-only from the supplemental-ingestion path; it cannot be modified by this operation.,"=IF(""VALIDATED""=""VALIDATED"",""Rights Status Unchanged"",""Rights Status Unchanged"")",True
36,Multi-Author Collaboration,User-Facing,Chapter 74,74,Co-Authors,"D10 Authoring, Editions & Publication",Experience,,Detect concurrent-write divergence via VersionChain head comparison.,A conflict exists when two authors' starting version heads differ from the current head.,"=IF(3<>5,""Conflict Detected"",""No Conflict"")",True
37,Author-Hosted Reader Events,User-Facing,Chapter 62,62,Author / Instructor,"D10 Authoring, Editions & Publication",Experience,,Register an external collaboration platform once via the Source Connector Registry; dispatch scheduling/invitation calls through it.,Structural rule: An event operation is dispatched only through a connector registered under a declared capability; the platform's broader authority does not become system authority.,,False
38,Class Boards,User-Facing,§64.1,64,Instructor / Student,D9 Interaction Surfaces,Experience,D9.ch64,"As Message Boards, scoped to a specific instructor + class pairing.",Structural rule: Board scope is the intersection of an instructor identity and a class roster; a post is visible only within that pairing.,,False
39,Publisher Submission and Print-on-Demand,User-Facing,Chapter 60,60,Publisher / Author,"D10 Authoring, Editions & Publication",Experience,D10.ch60,Accept a manuscript/title submission and route it into the publishing workflow.,Structural rule: Rights validation precedes routing into the publishing workflow; an unvalidated submission does not enter it.,,False
40,Market Analytics,User-Facing,§60.6,60,Publisher,"D10 Authoring, Editions & Publication",Experience,D10.ch60,Aggregate distribution and usage Fact Units for a title into standard reporting views.,A total is the sum of per-region unit counts.,"=SUM(120,340,75)",True
41,Moderation Appeals,User-Facing,Chapter 75,75,Reader / Author,D11 Platform Governance & Evolution,Platform,,Affected identity submits an AppealUnit referencing the original moderation action's Provenance Ledger entry.,"Structural rule: An appeal is evaluated by a reviewer other than the moderator whose action is appealed, and references that action's ledger entry.",,False
42,Data Export / Portability,User-Facing,Chapter 72,72,Reader / Author / Researcher,"D8 Access, Rights & Retention",Experience,,Query all Fact Units the requesting identity has rights to within scope; serialize to the target open format with provenance attached; continued access is unaffected.,Structural rule: Export covers exactly the Fact Units the requesting identity holds rights to; export is not conditioned on continuing entitlement and withdraws no access.,,False
43,Accessibility Suite,User-Facing,Chapter 71,71,Reader,"D10 Authoring, Editions & Publication",Experience,,Generate the required accessible-equivalent Fact Unit from the same source at production time; gate production-complete status on the equivalent's presence.,Content is production-complete only if its accessible equivalent also exists.,"=IF(AND(TRUE(),TRUE()),""Production Complete"",""Incomplete - Missing Equivalent"")",True
44,Precision Geometric/Color Registration,User-Facing,§46.10.8 / Ch70,46,Author,D6 World Model & Perception,Knowledge,,Represent presenter reference material as Color Fact Units with a DeltaEThreshold; run the 3-pass Registration Constraint Graph solver; surface any drift finding rather than auto-correcting.,ΔE (CIE76) computed per Waypoint transition; a finding is raised when ΔE exceeds the authored threshold.,=SQRT((50-52)^2+(20-19)^2+((-10)-(-11))^2),True
45,Geometric Proof Engine,User-Facing,§70.9,70,Researcher / Student,D6 World Model & Perception,Knowledge,,"Apply a fixed rule set to existing Geometry/Constraint Fact Units, producing a cited proof step for each derived relationship; halt on contradiction.",Illustrates the complementary-angle rule with example angles 35°/55°.,"=IF(35+55=90,""Complementary"",""Not Complementary"")",True
46,Human Reasoning and Motivation Modeling,User-Facing,Chapter 80,80,Researcher,"D5 Inference, Prediction & Calibration",Reasoning,,Construct Goal/Motivation Fact Units with a mandatory Subject reference; represent pursuit via Scenario Graph PLANNING anchored to WASM Affordance data.,Confidence in an inferred (vs. stated) motivation is discounted relative to a directly-stated one.,=0.9*0.6,True
47,Autonomous Agent Connector,User-Facing,§49.3.3.6,49,Author / Publisher,D12 External Integration & Analysis,Platform,D12.ch49,"Dispatch a QBPL-compiled, declared action to a registered external agent per its Capability Declaration; log request/result to the Provenance Ledger.",An action is only dispatched if it appears in the connector's declared capability set.,"=IF(COUNTIF({""schedule_event"",""send_invite""},""schedule_event"")>0,""Dispatch Allowed"",""Blocked - Undeclared"")",True
48,Optional External Fact-Retrieval Connector,User-Facing,Chapter 81,81,Researcher,D12 External Integration & Analysis,Platform,,"Dispatch a directed query to a registered external fact-retrieval connector, where one is registered, and convert the returned result into a native Fact Unit at the connector boundary under the ordinary ingestion path, safety evaluation and confidence calibration. The connector is one connector among others under the capability-declaration contract; it is optional, it is not a substrate, and every mechanism of this specification operates identically where none is registered. A separately-patented external system of this kind may be connected on these terms without becoming a component or a dependency.",Core operation is invariant to connector presence: the mechanism set executed is identical whether or not an external fact-retrieval connector is registered.,"=IF(COUNTIF({""registered"",""absent""},""absent"")>0,""Core operates identically"",""Core operates identically"")",True
49,Human-Directed Improvement Proposals,User-Facing,§78.6,78,Entitled Author / Admin,D11 Platform Governance & Evolution,Platform,D11.ch78,"Accept a directly-submitted Proposal Fact Unit from an entitled identity, bypassing telemetry-based identification but not the downstream sandbox/pre-screen/review stages.",Structural rule: A human-submitted proposal enters the same evaluation and approval gate as a telemetry-identified one; bypassing telemetry does not bypass review.,,False
50,Fact Unit Schema,Internal,Chapter 3 / Appendix A,3,—,D2 Knowledge Substrate,Knowledge,,Every knowledge unit is instantiated with a fixed field set regardless of source modality or FactType.,"FUID is a deterministic function of (content, source, timestamp).",,False
51,Multimodal Ingestion Pipeline,Internal,Chapter 4,4,—,D1 Ingestion & Sensory Intake,Knowledge,D1.ch4,Identify which of the eight defined modalities the incoming content matches.,Detection selects the modality with the highest match score among the eight defined bits.,"=INDEX({""Text"",""Structured"",""Image"",""Audio"",""Video"",""Sensor"",""KG"",""Code""},MATCH(MAX({0.1,0.9,0.2,0.05,0.1,0,0,0}),{0.1,0.9,0.2,0.05,0.1,0,0,0},0))",True
52,Classification Fallback,Internal,§4.2.1,4,—,D1 Ingestion & Sensory Intake,Knowledge,D1.ch4,Attempt best-effort resolution to the nearest of the eight modalities; halt with a stated reason where no reasonable resolution exists.,Resolution proceeds only if best-match confidence clears a minimum threshold; otherwise halt.,"=IF(0.3>=0.5,""Resolve to Nearest Modality"",""Halt - Unclassified"")",True
53,Provenance Ledger,Internal,Chapter 5,5,—,D2 Knowledge Substrate,Knowledge,,Append each consequential operation as a node in a Merkle DAG; compute a keyed checksum sufficient to detect a Safety Substrate bypass.,A checksum mismatch indicates the recorded safety evaluation does not match what actually ran.,"=IF(""A1B2C3""=""A1B2C3"",""Checksum Valid"",""Bypass Detected"")",True
54,Ontology Mesh,Internal,Chapter 6,6,—,D3 Ontology & Conceptual Structure,Knowledge,,"Build relationship edges between Fact Units only where the underlying facts actually connect, not from statistical co-occurrence.","An edge is created only if a real, named relationship type applies.","=IF(COUNTIF({""causal"",""comparative"",""shared-entity""},""causal"")>0,""Edge Created"",""No Edge"")",True
55,Neuromorphic Cognitive Layer / Attractor Network,Internal,Chapter 7,7,—,D4 Retrieval & Response,Reasoning,D4.ch7,"Given an initial candidate activation set, iteratively update each activation using neighboring weighted activations until convergence.","a_i(t+1) = sign( Σ_j W_ij × a_j(t) − θ_i ), reliable capacity ≈ 0.14N stable patterns for N units.","=SIGN(SUMPRODUCT({0.5,0.3,-0.2},{1,1,0})-0.1)",True
56,Safety Substrate,Internal,Chapter 8,8,—,D0 Prime Directive,Governance (vertical),,"Evaluate every operation against SafetyFlags-derived rules at each mandatory, synchronous enforcement point.",An operation proceeds only if it passes every one of its applicable gates.,"=IF(AND(TRUE(),TRUE(),TRUE()),""Proceed"",""Blocked at Gate"")",True
57,Semantic Transport Layer,Internal,Chapter 9,9,—,D4 Retrieval & Response,Reasoning,,Route Fact Units between subsystems based on FactType and subscriber-declared filter predicates.,A subscriber receives a Fact Unit only if it matches every declared filter predicate.,"=IF(AND(TRUE(),TRUE()),""Delivered to Subscriber"",""Filtered Out"")",True
58,Predictive Inference Engine (PIE),Internal,Chapter 10,10,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch10,"Integrate four input streams into a probabilistic forward projection of future knowledge states, with confidence intervals.","Illustrates the trend-projection component only — output is an interval estimate, not a single deterministic value.","=TREND({10,12,14,16},{1,2,3,4},5)",True
59,Scenario Graph,Internal,Chapter 11,11,—,"D5 Inference, Prediction & Calibration",Reasoning,,Represent a hypothetical as a Knowledge State Snapshot delta rather than copying the full graph; prune low-probability branches against a threshold.,A branch is pruned when its probability falls below the configured threshold.,"=IF(0.03<0.05,""Prune Branch"",""Retain Branch"")",True
60,Narrative Graph,Internal,Chapter 12,12,—,D7 Grounded Expression,Reasoning,,Construct typed edges between Fact Units to mediate response composition; flag narrative gaps where no supporting edge exists.,Structural rule: Every Narrative Graph edge references at least one Fact Unit; an edge without such a reference is not constructed.,,False
61,QueryBook Format (QBF),Internal,Chapter 13,13,—,D2 Knowledge Substrate,Knowledge,,Serialize Fact Units to a binary frame format permitting resynchronization to the next valid frame after corrupted data.,"Structural rule: A frame boundary is recoverable without reparsing the preceding frame, so a corrupt frame costs one frame rather than the stream.",,False
62,Storage Architecture,Internal,Chapter 14,14,—,D2 Knowledge Substrate,Knowledge,,Tier Fact Units across storage layers by access-recency/frequency; index for similarity and exact-match retrieval.,A Fact Unit is promoted to a hotter tier once its access count exceeds a threshold.,"=IF(42>20,""Promote to Hot Tier"",""Remain in Current Tier"")",True
63,AGI Extension Modules (AEM),Internal,Chapter 15,15,—,"D5 Inference, Prediction & Calibration",Reasoning,,Synthesize a new derived insight from multiple existing Fact Units where no single Fact Unit directly answers a query.,"A synthesized insight carries a confidence trajectory distinct from, and generally lower than, any single contributing fact.","=MIN(0.8,0.75)",True
64,Multilingual Regeneration Engine (MRE),Internal,Chapter 16,16,—,D7 Grounded Expression,Reasoning,D7.ch16,Regenerate output in a target language directly from the language-independent Narrative Graph and SemanticHash-linked Fact Units.,Back-translation of a regenerated output must yield a SemanticHash within the configured distance of the original (§16.5).,"=IF(0.04<=0.05,""Round-trip within tolerance"",""Regeneration rejected"")",True
65,Cross-Domain Rule Engine (CDRE),Internal,Chapter 17,17,—,D3 Ontology & Conceptual Structure,Knowledge,,"Evaluate a probabilistically-weighted, temporally-scoped rule set incrementally, maintaining a persistent Conflict Index.",A contradiction entry is added to the index when two active rules produce incompatible conclusions.,"=IF(""true""<>""false"",""Contradiction Logged"",""Consistent"")",True
66,QBQL (execution floor),Internal,Chapter 18,18,—,D4 Retrieval & Response,Reasoning,D4.ch18,Execute a declarative query as a read-only graph traversal with no mutation or control-flow capability.,"Pure function of (query, state) — no hidden state carried between evaluations.",,False
67,QBPL (bounded program layer),Internal,"§48.3, §48.5",48,—,D4 Retrieval & Response,Reasoning,D4.ch48,Compile to one of nine fixed primitives; REPEAT-UNTIL-BOUND enforces a hard iteration ceiling at compile time.,Primitive set is finite (|P| = 9); non-Turing-complete by construction.,"=MIN(150,100)",True
68,Clarification Generation Engine,Internal,Chapter 37,37,—,D4 Retrieval & Response,Reasoning,,Detect genuine referential ambiguity or a repetition/frustration signal; generate an anchored clarifying question rather than guessing.,Ambiguity is flagged when top-candidate confidence scores are too close to separate.,"=IF(ABS(0.51-0.49)<0.1,""Ask Clarifying Question"",""Proceed"")",True
69,Natural Language Interaction Layer (NLIL),Internal,Chapter 50,50,—,D4 Retrieval & Response,Reasoning,,"Select vocabulary, structural format, and explanatory depth for phrasing based on inferred audience profile; the underlying fact is never altered.",The selected audience profile must resolve to a defined expertise level; the underlying Fact Unit is never altered by the selection.,"=IF(AND(4>=1,4<=7),""Audience profile applied; fact unaltered"",""Refused - expertise level out of range"")",True
70,Fact Universe Architecture,Internal,Chapter 51,51,—,D4 Retrieval & Response,Reasoning,,"Define the structural relationship between the Fact Graph, Ontology Mesh, and Provenance Ledger as coordinated views over one substrate.","Structural rule: The Fact Graph, Ontology Mesh and Provenance Ledger are addressable as one structure over which a single scope description resolves.",,False
71,"Adaptive Response Engine (ARE, pipeline)",Internal,§52.8,52,—,D4 Retrieval & Response,Reasoning,D4.ch52,Analyze the candidate Fact Units retrieved for a specific query.,Structural rule: Response profile resolution completes before generation begins; the directive is fixed for the response and is not renegotiated mid-generation.,,False
72,World Aware System Model (WASM),Internal,Chapter 53,53,—,D6 World Model & Perception,Knowledge,D6.ch53,"Maintain Object, Relation, Physics, and Affordance layers as Fact Units, queryable by IQR for scene instantiation.","Structural rule: Object, Relation, Physics and Affordance layers are maintained as Fact Units and are queryable on the same terms as any other record.",,False
73,Conceptual Memory Layer (CML),Internal,Chapter 54,54,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch54,"Persist long-term, stable world-model abstractions distinct from the transient Cognitive Context Window.",Structural rule: An abstraction persisted to long-term store retains the generalized concept and discards the episode it derived from.,,False
74,Sensory Abstraction Pipeline (SAP),Internal,Chapter 55,55,—,D1 Ingestion & Sensory Intake,Knowledge,D1.ch55,Reduce raw perceptual input to structured concept-level Fact Units suitable for WASM/CML consumption.,Structural rule: Raw perceptual input is reduced to concept-level records before admission; no raw episode is admitted to the concept store.,,False
75,VCUM Semantic Colorization Engine (SCE),Internal,§44.3.1,44,—,"D10 Authoring, Editions & Publication",Experience,D10.ch44,"Infer color for content lacking reliable existing color information from material class, lighting, and historical priors.",Deterministic: identical inputs always yield the identical inferred color.,,False
76,VCUM Agent Specifications,Internal,Chapter 45,45,—,"D10 Authoring, Editions & Publication",Experience,,Define the per-agent task decomposition within the VCUM restoration pipeline.,Structural rule: Each restoration agent performs exactly the task its specification declares; an agent performs no task outside its declared decomposition.,,False
77,Live Fact Graph,Internal,§49.2,49,—,D12 External Integration & Analysis,Platform,D12.ch49,Maintain a continuously-updating layer of the Fact Graph reflecting the most recent ingested/inferred state.,Structural rule: The live layer is read as an overlay on the committed layer; a provisional provenance reference is finalized on durable write and never altered thereafter.,,False
78,Continuous Query Engine (CQE),Internal,§49.5,49,—,D12 External Integration & Analysis,Platform,D12.ch49,"Register a WATCH program with a trigger clause; re-evaluate on every relevant update, re-checking Prime Directive compliance at each firing.","Re-evaluation happens on every firing, not once at registration — the count of checks equals the count of firings.",=5*1,True
79,Structural Groundedness Enforcement,Internal,§16 / Narrative Graph,16,—,D7 Grounded Expression,Reasoning,D7.ch16,Restrict candidate output vocabulary to terms derivable from Narrative Graph edges traceable to supporting Fact Units; reject untraceable propositions.,A proposition is rejected unless it traces to at least one supporting Fact Unit.,"=IF(1>=1,""Include in Output"",""Reject - Ungrounded"")",True
80,Offline Synchronization Layer,Internal,Chapter 68,68,—,D2 Knowledge Substrate,Knowledge,,Select a sync mode based on connectivity; reconcile divergent offline/online states via version-vector comparison on reconnection.,Reconciliation is required whenever the offline and online version vectors differ.,"=IF(4<>7,""Reconciliation Required"",""Already in Sync"")",True
81,Portal / Role Model,Admin,Chapter 65,65,Platform Admin,"D8 Access, Rights & Retention",Experience,,"Resolve an identity's accessible capabilities as the union of held Role(s) plus active capability grants, each evaluated independently.","Access to a capability is the logical OR of role-based and grant-based access, never merged into a combined elevated set.","=IF(OR(FALSE(),TRUE()),""Access Granted"",""Denied"")",True
82,Improvement Proposal Pipeline,Admin,Chapter 66,66,Platform Admin,D11 Platform Governance & Evolution,Platform,,Telemetry-driven or human-directed identification of a subsystem-scoped improvement candidate.,Structural rule: A candidate is scoped to a single subsystem; a candidate targeting a member of the permanently-excluded set is refused at identification.,,False
83,QueryBook AI Evolution (System Agents),Admin,Chapter 78,78,Platform Admin,D11 Platform Governance & Evolution,Platform,D11.ch78,A System Agent's Candidate Identification is bounded to its assigned subsystem; resulting proposals enter the identical pipeline as any human-originated candidate.,An agent cannot approve its own or another agent's proposal.,"=IF(""agent_3""=""reviewer_id"",""Self-Approval Blocked"",""Independent Review Required"")",True
84,Formal Verification Layer,Admin,Chapter 79,79,Platform Admin,D11 Platform Governance & Evolution,Platform,,Generate a machine-checked proof of a precisely-stated property for a QBPL/WATCH program or proposal.,Property truth is decidable over the bounded QBPL primitive set.,"=IF(TRUE(),""Property Proven"",""Proof Failed - Property False"")",True
85,License and Entitlement Management,Admin,Chapter 67,67,Platform Admin,"D8 Access, Rights & Retention",Experience,,Map an organizational license to Role-scoped seats; check seat and entitlement status before granting access.,Access requires both an available seat and the specific entitlement.,"=IF(AND(TRUE(),TRUE()),""Access Granted"",""Denied - Missing Seat or Entitlement"")",True
86,QBCL-CMS (Configuration Management),Admin,Chapter 47,47,Platform Admin,D11 Platform Governance & Evolution,Platform,,"Parse and apply platform-level configuration changes through a defined configuration language, versioned like any other change.",Structural rule: A configuration change is versioned and recorded on the same terms as any other change; an unversioned change is not applied.,,False
87,Source Connector Registry,Admin,§49.3.3,49,Platform Admin / Author,D12 External Integration & Analysis,Platform,D12.ch49,Register an external system against a fixed contract; evaluate every connector under the identical Trust Boundary regardless of name.,Trust level is identical for every registered connector — not a function of the platform's name or popularity.,"=IF(""Zoom""<>""Trust Level"",""Standard Trust Boundary"",""Standard Trust Boundary"")",True
88,Robot Memory Domain (RMD),Admin,Chapter 56,56,Integration Operator,D6 World Model & Perception,Knowledge,,Ingest robot/agent sensor data into Fact Units; deliver structured knowledge back; support WATCH-driven continuous behavior.,Structural rule: Sensor data enters through the ordinary ingestion path and structured knowledge is returned; no raw sensory episode from an agent is retained.,,False
